full_name,eccentricity,inclination (deg),node (deg),perihelion arg (deg),perihelion distance (au),aphelion distance (au),data_arc,condition_code,n_obs_used,absolute magnitude,n,mean anomaly,time perihelion passage (tdb),spkid,pdes,pha_
   433 Eros (A898 PA),0.2228,10.83,304.29,178.93,1.133,1.78,46582.0,0.0,9130,10.31,0.5598,110.78,2459802.6,20000433,433,0
   719 Albert (A911 TB),0.547,11.58,183.86,156.25,1.195,4.08,40483.0,0.0,2035,15.59,0.2301,10.24,2459956.02,20000719,719,0
   887 Alinda (A918 AA),0.5707,9.4,110.42,350.48,1.061,3.88,38459.0,0.0,3025,13.83,0.2535,188.04,2460678.79,20000887,887,0
  1036 Ganymed (A924 UB),0.533,26.69,215.5,132.47,1.245,4.09,36005.0,0.0,9680,9.22,0.2264,231.16,2460569.53,20001036,1036,0
  1221 Amor (1932 EA1),0.4358,11.88,171.32,26.63,1.083,2.76,32775.0,0.0,585,17.38,0.3708,49.38,2459867.32,20001221,1221,0
  1566 Icarus (1949 MA),0.8269,22.8,87.95,31.44,0.187,1.97,26991.0,0.0,1510,16.5,0.8804,352.55,2460008.96,20001566,1566,1
  1580 Betulia (1950 KA),0.487,52.1,62.26,159.55,1.127,3.27,26512.0,0.0,1509,14.69,0.3026,137.66,2459545.51,20001580,1580,0
  1620 Geographos (1951 RA),0.3355,13.34,337.17,276.96,0.828,1.66,26152.0,0.0,7984,15.32,0.7089,224.05,2460192.27,20001620,1620,1
  1627 Ivar (1929 SH),0.3965,8.45,133.12,167.81,1.125,2.6,34214.0,0.0,12483,12.74,0.3874,284.0,2460196.68,20001627,1627,0
  1685 Toro (1948 OA),0.436,9.38,274.22,127.23,0.771,1.96,27336.0,0.0,4301,14.31,0.6163,186.57,2460281.91,20001685,1685,0
  1862 Apollo (1932 HA),0.5599,6.35,35.56,286.06,0.647,2.29,33768.0,0.0,2889,16.11,0.5526,281.25,2460143.0,20001862,1862,1
  1863 Antinous (1948 EA),0.6058,18.4,346.42,268.07,0.891,3.63,27402.0,0.0,1105,15.44,0.2902,0.1,2460000.16,20001863,1863,0
  1864 Daedalus (1971 FA),0.6145,22.22,6.61,325.67,0.563,2.36,19016.0,0.0,4520,14.77,0.5582,59.37,2459894.14,20001864,1864,0
  1865 Cerberus (1971 UA),0.467,16.1,212.89,325.28,0.576,1.58,18260.0,0.0,2146,16.79,0.8782,161.48,2459816.62,20001865,1865,0
  1866 Sisyphus (1972 XA),0.5383,41.2,63.46,293.1,0.874,2.91,24959.0,0.0,7876,12.56,0.3782,122.45,2459676.75,20001866,1866,0
  1915 Quetzalcoatl (1953 EA),0.5704,20.4,162.94,347.8,1.093,3.99,18842.0,0.0,51,18.05,0.243,138.62,2459429.95,20001915,1915,0
  1916 Boreas (1953 RA),0.4498,12.88,340.6,335.89,1.25,3.29,25367.0,0.0,1919,14.95,0.2878,107.37,2459627.4,20001916,1916,0
  1917 Cuyo (1968 AA),0.5056,23.96,188.29,194.53,1.063,3.24,25223.0,0.0,3247,14.4,0.3127,207.3,2460488.84,20001917,1917,0
